date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2025-01-21,KXGDPYEAR-25,2025-07-21,2.0336423087578006,1.8,2.3,0.21312510552366004,-0.5736229882344985,1.7674557073911596
2025-01-22,KXGDPYEAR-25,2025-07-21,2.0333552551513057,2.3,2.8,-0.25137805507328304,-0.5741504301638951,1.6514097132855712
2025-01-23,KXGDPYEAR-25,2025-07-21,2.019759898326654,2.3,2.8,-0.26221459827178184,-0.5878262485490109,1.6658968187361611
2025-01-24,KXGDPYEAR-25,2025-07-21,2.0282304842988794,2.3,2.3,-0.2622145982717817,-0.526473723774588,1.61784517928506
2025-01-25,KXGDPYEAR-25,2025-07-21,2.0261347894326223,2.3,2.3,-0.26549841970718185,-0.5033619885957084,1.6034634491315982
2025-01-26,KXGDPYEAR-25,2025-07-21,2.0527654755027744,2.3,2.3,-0.23805814054811497,-0.5742780217213519,1.6259210249724452
2025-01-27,KXGDPYEAR-25,2025-07-21,2.0527654755027744,2.3,2.3,-0.23805814054811497,-0.5742780217213519,1.6259210249724452
2025-01-28,KXGDPYEAR-25,2025-07-21,2.0527654755027744,2.3,2.3,-0.23805814054811497,-0.5742780217213519,1.6259210249724452
2025-01-29,KXGDPYEAR-25,2025-07-21,2.0527654755027744,2.3,2.3,-0.23805814054811497,-0.5742780217213519,1.6259210249724452
2025-01-30,KXGDPYEAR-25,2025-07-21,2.0667385651814203,2.3,2.8,-0.22010790012964762,-0.56933352206631,1.6807962298435384
2025-01-31,KXGDPYEAR-25,2025-07-21,2.0750079202436016,2.3,2.8,-0.22004976513061708,-0.4603059134123635,1.6091897458538604
2025-02-01,KXGDPYEAR-25,2025-07-21,2.0064249222534722,2.3,2.8,-0.284470827157811,-0.5284552619550955,1.5893262816053462
2025-02-02,KXGDPYEAR-25,2025-07-21,2.011383198291317,2.3,2.8,-0.28737216666484866,-0.5144165930394222,1.5597134537139723
2025-02-03,KXGDPYEAR-25,2025-07-21,2.000883739049197,2.3,2.8,-0.29219616519466196,-0.5495137937009913,1.5881647662772924
2025-02-04,KXGDPYEAR-25,2025-07-21,2.000883739049197,2.3,2.8,-0.29219616519466196,-0.5495137937009913,1.5881647662772924
2025-02-05,KXGDPYEAR-25,2025-07-21,2.0016848923249673,2.3,2.8,-0.29467442709326797,-0.5222989286428632,1.5703481467093465
2025-02-06,KXGDPYEAR-25,2025-07-21,2.0458285314218885,2.3,2.8,-0.25493454909588714,-0.5415641679843963,1.5426281645644029
2025-02-07,KXGDPYEAR-25,2025-07-21,2.0458285314218885,2.3,2.8,-0.25493454909588714,-0.5415641679843963,1.5426281645644029
2025-02-08,KXGDPYEAR-25,2025-07-21,2.0458285314218885,2.3,2.8,-0.25493454909588714,-0.5415641679843963,1.5426281645644029
2025-02-09,KXGDPYEAR-25,2025-07-21,2.0458285314218885,2.3,2.8,-0.25493454909588714,-0.5415641679843963,1.5426281645644029
2025-02-10,KXGDPYEAR-25,2025-07-21,1.9981978880597857,2.3,2.8,-0.294936869507314,-0.5439630510353108,1.586394051597732
2025-02-11,KXGDPYEAR-25,2025-07-21,1.9981978880597857,2.3,2.8,-0.294936869507314,-0.5439630510353108,1.586394051597732
2025-02-12,KXGDPYEAR-25,2025-07-21,1.9981978880597857,2.3,2.8,-0.294936869507314,-0.5439630510353108,1.586394051597732
2025-02-13,KXGDPYEAR-25,2025-07-21,1.9981978880597857,2.3,2.8,-0.294936869507314,-0.5439630510353108,1.586394051597732
2025-02-14,KXGDPYEAR-25,2025-07-21,1.9981978880597857,2.3,2.8,-0.294936869507314,-0.5439630510353108,1.586394051597732
2025-02-15,KXGDPYEAR-25,2025-07-21,1.9961231385381497,2.3,1.8,-0.298562658421521,-0.5182490259117252,1.5701944727606596
2025-02-16,KXGDPYEAR-25,2025-07-21,2.034537018357878,2.3,1.8,-0.2668897677720311,-0.45828109994569477,1.5330900267212286
2025-02-17,KXGDPYEAR-25,2025-07-21,2.0154567699836874,2.3,1.8,-0.28765203050917304,-0.40775049117613227,1.5156093753742326
2025-02-18,KXGDPYEAR-25,2025-07-21,2.0300444960340487,2.3,2.3,-0.2876520305091732,-0.28932873029274875,1.4418464093182264
2025-02-19,KXGDPYEAR-25,2025-07-21,2.0300444960340487,2.3,2.3,-0.2876520305091732,-0.28932873029274875,1.4418464093182264
2025-02-20,KXGDPYEAR-25,2025-07-21,2.048008425890463,2.3,2.8,-0.2668897677720314,-0.32434771249926886,1.443461181085649
2025-02-21,KXGDPYEAR-25,2025-07-21,2.0789388271363003,2.3,2.8,-0.23254972262035717,-0.3934814681465917,1.460892206714376
2025-02-22,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-23,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-24,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-25,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-26,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-27,KXGDPYEAR-25,2025-07-21,2.1061437630955777,2.3,2.3,-0.20384088837654413,-0.44693520995410196,1.4517676151480345
2025-02-28,KXGDPYEAR-25,2025-07-21,1.9421604438003137,1.8,2.3,0.13755069306344828,-0.6313546028133059,1.5810792962980411
2025-03-01,KXGDPYEAR-25,2025-07-21,1.9006992846308362,1.8,2.3,0.09680764994928312,-0.6343590144679268,1.6201885857237255
2025-03-02,KXGDPYEAR-25,2025-07-21,1.9006992846308362,1.8,2.3,0.09680764994928312,-0.6343590144679268,1.6201885857237255
2025-03-03,KXGDPYEAR-25,2025-07-21,1.9034800995120573,1.8,2.3,0.09680764994928252,-0.6995321603704414,1.6646424010657745
2025-03-04,KXGDPYEAR-25,2025-07-21,1.81764226003374,1.8,0.1,0.016130068778312363,-0.7354945107925026,1.7094545297014407
2025-03-05,KXGDPYEAR-25,2025-07-21,1.75380011879812,1.8,0.1,-0.04244388850360169,-0.6597470859812442,1.6810775333973473
2025-03-06,KXGDPYEAR-25,2025-07-21,1.6944205673204658,1.3,0.1,0.35782274987239343,-0.647001227737587,1.7147072200651206
2025-03-07,KXGDPYEAR-25,2025-07-21,1.66395714881359,1.3,0.1,0.34497739685404283,-0.3805310346807165,1.6417257207003222
2025-03-08,KXGDPYEAR-25,2025-07-21,1.6263915630009311,1.3,0.1,0.314936558422444,-0.30789684520951566,1.5926989907827254
2025-03-09,KXGDPYEAR-25,2025-07-21,1.654619148802966,1.3,0.1,0.34317546475360083,-0.30489536397417316,1.5782696555911209
2025-03-10,KXGDPYEAR-25,2025-07-21,1.654619148802966,1.3,0.1,0.34317546475360083,-0.30489536397417316,1.5782696555911209
2025-03-11,KXGDPYEAR-25,2025-07-21,1.6627894801747538,1.3,0.1,0.34995480855782607,-0.328238303753142,1.576302790533449
2025-03-12,KXGDPYEAR-25,2025-07-21,1.6209013444069518,1.3,0.1,0.30824691708894186,-0.3332018272856505,1.597760173551469
2025-03-13,KXGDPYEAR-25,2025-07-21,1.609202191025495,1.3,0.1,0.29904617055119753,-0.27938654596552315,1.6087930102478893
2025-03-14,KXGDPYEAR-25,2025-07-21,1.5455997208366135,1.3,0.1,0.24763041322904844,0.005776341545871144,1.515644920331556
2025-03-15,KXGDPYEAR-25,2025-07-21,1.5815247425270036,1.3,0.1,0.27995303932956134,-0.1331555215434701,1.499340905504361
2025-03-16,KXGDPYEAR-25,2025-07-21,1.5815247425270036,1.3,0.1,0.27995303932956134,-0.1331555215434701,1.499340905504361
2025-03-17,KXGDPYEAR-25,2025-07-21,1.633960423936366,1.3,1.3,0.3343836668793378,-0.11657622380370958,1.4719728952021955
2025-03-18,KXGDPYEAR-25,2025-07-21,1.6056563206350958,1.3,1.8,0.31429737589496765,0.0658070862972342,1.4386713524175991
2025-03-19,KXGDPYEAR-25,2025-07-21,1.6022533636155847,1.3,1.8,0.3142973758949678,0.10389190471011345,1.4236827784260293
2025-03-20,KXGDPYEAR-25,2025-07-21,1.6341144072516738,1.3,1.8,0.34223611381186353,-0.0055964039349061245,1.4714421927496577
2025-03-21,KXGDPYEAR-25,2025-07-21,1.5981132075471698,1.3,0.1,0.2992424242424244,-0.07301153566973939,1.5188643645425417
2025-03-22,KXGDPYEAR-25,2025-07-21,1.6188728553573457,1.3,0.1,0.31474586155847645,-0.0338096726399808,1.5263714599165032
2025-03-23,KXGDPYEAR-25,2025-07-21,1.6188728553573457,1.3,0.1,0.31474586155847645,-0.0338096726399808,1.5263714599165032
2025-03-24,KXGDPYEAR-25,2025-07-21,1.5871064634553342,1.3,0.1,0.2823014657624153,-0.04232249575548375,1.5416882455350398
2025-03-25,KXGDPYEAR-25,2025-07-21,1.5479559918023948,1.3,0.1,0.24393039049236015,-0.021464360762495804,1.5436521158499252
2025-03-26,KXGDPYEAR-25,2025-07-21,1.5479559918023948,1.3,0.1,0.24393039049236015,-0.021464360762495804,1.5436521158499252
2025-03-27,KXGDPYEAR-25,2025-07-21,1.5479559918023948,1.3,0.1,0.24393039049236015,-0.021464360762495804,1.5436521158499252
2025-03-28,KXGDPYEAR-25,2025-07-21,1.5308693441789527,1.3,0.1,0.24021920822665638,0.1962119878494395,1.453190449121227
2025-03-29,KXGDPYEAR-25,2025-07-21,1.5308693441789527,1.3,0.1,0.24021920822665638,0.1962119878494395,1.453190449121227
2025-03-30,KXGDPYEAR-25,2025-07-21,1.5446771378708548,1.3,1.3,0.25519840674989813,0.19805139052194676,1.4472658361152446
2025-03-31,KXGDPYEAR-25,2025-07-21,1.5446771378708548,1.3,1.3,0.25519840674989813,0.19805139052194676,1.4472658361152446
